Name,Runtime,dropout_prob,learning_rate,model_type,pretrained,views,best_val_accuracy,epoch_time_sec,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy,test_loss
unet_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views6,6930,0.2,0.0005,unet,False,6,0.9437956204379562,68.97452139854431,0.9975019516003124,0.0087794508966943,0.92992700729927,0.5354838447537855,0.9138686131386862,0.4853142124176289
unet_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views6,7201,0.0,0.0005,unet,False,6,0.948905109489051,69.61582946777344,0.9943793911007026,0.0159986716048119,0.948905109489051,0.3224720970547411,0.9364963503649636,0.387812366274299
unet_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views2,2483,0.2,0.0005,unet,False,2,0.948905109489051,24.68690538406372,0.9946916471506636,0.0187427332896014,0.9335766423357664,0.3679040021001528,0.9416058394160584,0.1796999607979399
unet_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views2,2557,0.0,0.0005,unet,False,2,0.9452554744525548,24.62869381904602,0.995160031225605,0.0167124839156122,0.9233576642335768,0.4888105244217144,0.945985401459854,0.2172270500021512
resnet_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views2,2383,0.2,0.0005,resnet,False,2,0.94014598540146,23.821738243103027,0.9978142076502732,0.0129599725007814,0.9248175182481752,0.438380867352772,0.9255474452554744,0.300866042603851
resnet_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views2,2378,0.0,0.0005,resnet,False,2,0.937956204379562,23.63609790802002,0.9995316159250586,0.0032861051938604,0.92992700729927,0.4192483754464034,0.9248175182481752,0.3810173836402475
resnet_lr0.0005_dp0.2_pretrained=True_BugNIST_256_screenshots_views2,2378,0.2,0.0005,resnet,True,2,0.9394160583941604,23.67911958694458,0.9992193598750976,0.001415797051993,0.9226277372262772,0.6574567396612998,0.924087591240876,0.3600071201603476
resnet_lr0.0005_dp0.0_pretrained=True_BugNIST_256_screenshots_views2,2379,0.0,0.0005,resnet,True,2,0.9394160583941604,23.63019347190857,0.9964090554254488,0.0169479760707371,0.9284671532846716,0.4531991826925061,0.92992700729927,0.5376963161801886
conv2d_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views2,2316,0.2,0.0005,conv2d,False,2,0.9547445255474452,23.05051326751709,0.9295862607338016,0.1825398919507642,0.9357664233576642,0.1779535987835469,0.9408759124087592,0.1480590389084655
conv2d_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views2,2302,0.0,0.0005,conv2d,False,2,0.9554744525547444,22.926332473754883,0.9784543325526932,0.0649135322131854,0.9364963503649636,0.2446893030206862,0.945985401459854,0.1313449277616459
densenet_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views2,6315,0.2,0.0005,densenet,False,2,0.9437956204379562,62.80938673019409,0.9926619828259172,0.0242345123447958,0.92992700729927,0.6001973680020246,0.9364963503649636,0.3556608411384087
densenet_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views2,6363,0.0,0.0005,densenet,False,2,0.94014598540146,62.95390248298645,0.9915690866510538,0.0360976519111266,0.9313868613138686,0.4328882699017465,0.935036496350365,0.23364676633119
densenet_lr0.0005_dp0.2_pretrained=True_BugNIST_256_screenshots_views2,6358,0.2,0.0005,densenet,True,2,0.9562043795620438,63.37203645706177,0.9937548790007806,0.0259685228703701,0.9357664233576642,0.436857473526169,0.9357664233576642,0.1794665592659982
densenet_lr0.0005_dp0.0_pretrained=True_BugNIST_256_screenshots_views2,6316,0.0,0.0005,densenet,True,2,0.9562043795620438,62.69969415664673,0.9943793911007026,0.0201551295890764,0.9408759124087592,0.3798449489077353,0.9277372262773724,0.32086139872727
unet_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views1,1583,0.2,0.0005,unet,False,1,0.9372262773722628,15.79691457748413,0.9882903981264636,0.0335113974925531,0.9153284671532846,0.4898966412268757,0.9335766423357664,0.2900849368287724
unet_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views1,1582,0.0,0.0005,unet,False,1,0.9321167883211678,15.727752685546877,0.9935987509758002,0.0230227446397353,0.9182481751824818,0.6124383224535307,0.9291970802919708,0.2246367051440845
densenet_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views1,6126,0.2,0.0005,densenet,False,1,0.9321167883211678,61.04672932624817,0.9904761904761904,0.0290150605700651,0.9153284671532846,0.6492793647665525,0.9153284671532846,0.6356481733399948
densenet_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views1,6174,0.0,0.0005,densenet,False,1,0.9175182481751823,61.27851700782776,0.9918813427010148,0.0294382913615447,0.9094890510948904,0.648749715550625,0.9204379562043796,0.2053472144933159
densenet_lr0.0005_dp0.2_pretrained=True_BugNIST_256_screenshots_views1,6139,0.2,0.0005,densenet,True,1,0.9306569343065694,60.99717760086059,0.9929742388758782,0.0271176107463736,0.9145985401459854,0.578224448880522,0.9102189781021898,0.4937906073580593
densenet_lr0.0005_dp0.0_pretrained=True_BugNIST_256_screenshots_views1,6187,0.0,0.0005,densenet,True,1,0.9248175182481752,61.23584985733032,0.9914129586260734,0.0318566071017604,0.908029197080292,0.5016107791670967,0.921897810218978,0.546971475622246
resnet_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views1,1517,0.2,0.0005,resnet,False,1,0.9175182481751823,15.094164848327637,0.9959406713505076,0.0134757777174729,0.8963503649635036,0.6256256069321996,0.897080291970803,0.2920117535495822
resnet_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views1,1510,0.0,0.0005,resnet,False,1,0.9145985401459854,15.054948806762695,0.9962529274004684,0.0124782722059863,0.8890510948905109,0.693315162193819,0.8846715328467153,0.2928433359959382
resnet_lr0.0005_dp0.2_pretrained=True_BugNIST_256_screenshots_views1,1512,0.2,0.0005,resnet,True,1,0.9167883211678832,14.885427474975586,0.9979703356752536,0.0083816957476008,0.9014598540145984,0.9481272889950854,0.8978102189781022,0.7716604850319971
resnet_lr0.0005_dp0.0_pretrained=True_BugNIST_256_screenshots_views1,1512,0.0,0.0005,resnet,True,1,0.916058394160584,15.117644548416138,0.9950039032006244,0.0189429420318001,0.8985401459854014,0.5921333009161894,0.9102189781021898,0.2515561872522178
conv2d_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views1,1278,0.2,0.0005,conv2d,False,1,0.92992700729927,12.654150247573853,0.8913348946135832,0.277847939806092,0.9131386861313868,0.2299992012787936,0.916058394160584,0.2949132749702047
conv2d_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views1,1316,0.0,0.0005,conv2d,False,1,0.9430656934306568,12.649463891983032,0.967056986729118,0.1026102696343079,0.9284671532846716,0.2069825641652628,0.945985401459854,0.1533657713808035
